Choa Chu Kang West|1.3791|103.73782
Tengah|1.36639|103.73
Hong Kah|1.35806|103.72583
Corporation|1.35306|103.71389
Jurong West|1.34917|103.70833
Bahar Junction|1.34542|103.70254
Enterprise|1.33278|103.70861
Gek Poh|1.34833|103.69806
Tawas|1.35056|103.69194
Nanyang Gateway|1.35361|103.68667
Nanyang Crescent|1.34833|103.68083
Peng Kang Hill|1.34333|103.67861
Potong Pasir|1.33111|103.86917
Woodleigh|1.33917|103.87083
Kovan|1.36028|103.885
Buangkok|1.38278|103.89278
Sengkang|1.39166|103.89547
Punggol Coast|1.41446|103.91044
Clarke Quay|1.28861|103.84667
Farrer Park|1.31222|103.85417
Boon Keng|1.31944|103.86167
Admiralty|1.44069|103.80093
Sembawang|1.44903|103.82015
Canberra|1.44306|103.82972
Yishun|1.42946|103.83524
Khatib|1.41717|103.8329
Yio Chu Kang|1.38191|103.84482
Braddell|1.34034|103.84672
Toa Payoh|1.33278|103.8475
Bukit Batok|1.34917|103.74972
Novena|1.32039|103.84369
Orchard|1.30333|103.83167
Somerset|1.30051|103.83903
Marina South Pier|1.27096|103.86324
Bukit Gombak|1.35861|103.75167
Brickland|1.36972|103.74778
Yew Tee|1.39699|103.74724
Kranji|1.42505|103.76185
Marsiling|1.43264|103.77428
Woodlands|1.43709|103.78648
Cove|1.39944|103.90583
Meridian|1.39696|103.90887
Coral Edge|1.39384|103.91261
Kadaloor|1.39969|103.91635
Oasis|1.40237|103.91242
Damai|1.40526|103.9086
Sam Kee|1.40977|103.90494
Teck Lee|1.41269|103.90658
Punggol Point|1.41688|103.90635
Samudera|1.41581|103.90225
Nibong|1.41178|103.90037
Sumang|1.40843|103.8985
Soo Teck|1.40531|103.89726
Compassvale|1.39444|103.90028
Rumbia|1.39142|103.90597
Bakau|1.38785|103.90527
Kangkar|1.38374|103.90219
Ranggung|1.384|103.89734
Cheng Lim|1.39639|103.89361
Farmway|1.39719|103.88921
Kupang|1.3982|103.88129
Thanggam|1.39722|103.87559
Fernvale|1.39184|103.87627
Layar|1.39215|103.87999
Tongkang|1.38932|103.88592
Renjong|1.38661|103.89042
Woodlands North|1.44833|103.785
Mount Pleasant|1.32861|103.83556
Napier|1.30694|103.81917
Orchard Boulevard|1.3025|103.825
Great World|1.295|103.83361
Havelock|1.28778|103.83361
Maxwell|1.28069|103.84407
Shenton Way|1.2775|103.85083
Marina South|1.27389|103.86306
Gardens by the Bay|1.27833|103.86806
Founders Memorial|1.29111|103.86861
Tanjong Rhu|1.29722|103.87333
Katong Park|1.29778|103.88528
Tanjong Katong|1.29917|103.89778
Marine Parade|1.3025|103.905
Marine Terrace|1.30611|103.91333
Siglap|1.30972|103.92889
Bayshore|1.31472|103.94361
Woodlands South|1.42722|103.79389
Bedok South|1.31667|103.94833
Springleaf|1.39778|103.81833
Lentor|1.38472|103.83667
Mayflower|1.3725|103.83722
Upper Thomson|1.35417|103.83333
